,datetime,open,high,low,close,volume
125,2020-11-20 04:52:00,29317.52,29320.92,29314.52,29316.92,47
126,2020-11-20 04:53:00,29316.92,29323.92,29316.92,29320.92,59
127,2020-11-20 04:54:00,29320.92,29323.52,29319.52,29323.52,22
128,2020-11-20 04:55:00,29323.52,29325.52,29321.52,29325.52,35
129,2020-11-20 04:56:00,29325.52,29329.92,29324.92,29326.92,73
130,2020-11-20 04:57:00,29326.92,29326.92,29322.52,29322.92,40
131,2020-11-20 04:58:00,29322.92,29323.52,29318.92,29319.92,47
132,2020-11-20 04:59:00,29319.92,29320.52,29316.52,29316.52,39
133,2020-11-20 05:00:00,29316.52,29321.92,29313.92,29316.52,74
134,2020-11-20 05:01:00,29316.52,29322.92,29315.92,29318.52,60
135,2020-11-20 05:02:00,29318.52,29318.92,29315.92,29317.92,43
136,2020-11-20 05:03:00,29317.92,29328.92,29317.92,29326.92,80
137,2020-11-20 05:04:00,29326.92,29330.52,29325.52,29326.92,50
138,2020-11-20 05:05:00,29326.92,29326.92,29319.92,29322.92,55
139,2020-11-20 05:06:00,29322.92,29324.52,29318.92,29320.52,62
140,2020-11-20 05:07:00,29320.52,29322.52,29317.92,29319.52,53
141,2020-11-20 05:08:00,29319.52,29327.92,29318.92,29327.92,40
142,2020-11-20 05:09:00,29327.92,29329.52,29317.92,29317.92,63
143,2020-11-20 05:10:00,29317.92,29319.92,29315.92,29316.92,43
144,2020-11-20 05:11:00,29316.92,29318.52,29312.92,29316.92,35
145,2020-11-20 05:12:00,29316.92,29317.92,29313.52,29313.92,36
146,2020-11-20 05:13:00,29313.92,29313.92,29310.52,29312.52,44
147,2020-11-20 05:14:00,29312.52,29312.52,29309.92,29310.52,51
148,2020-11-20 05:15:00,29310.52,29311.52,29309.52,29310.52,37
149,2020-11-20 05:16:00,29310.52,29313.52,29307.92,29313.52,43
150,2020-11-20 05:17:00,29313.52,29318.52,29313.52,29317.92,32
151,2020-11-20 05:18:00,29317.92,29319.92,29311.92,29312.92,37
152,2020-11-20 05:19:00,29312.92,29313.92,29310.92,29311.52,26
153,2020-11-20 05:20:00,29311.52,29312.52,29308.92,29312.52,40
154,2020-11-20 05:21:00,29312.52,29315.92,29312.52,29315.92,17
155,2020-11-20 05:22:00,29315.92,29315.92,29309.92,29310.92,31
156,2020-11-20 05:23:00,29310.92,29310.92,29308.92,29308.92,22
157,2020-11-20 05:24:00,29308.92,29309.52,29304.92,29307.92,49
